experiment_name,split,retrieval_strategy,rerank,evaluated_samples,candidate_top_k,final_top_k,candidate_hit_at_10,candidate_hit_at_20,candidate_hit_at_50,hit_at_1,hit_at_3,hit_at_5,hit_at_10,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,gold_in_candidate_not_final_count,gold_promoted_by_rerank_count,gold_demoted_by_rerank_count,delta_hit_at_1,delta_hit_at_3,delta_hit_at_5,delta_hit_at_10,delta_mrr
dense_no_rerank_expanded_build,build,dense,none,27,50,10,0.407407,0.592593,0.740741,0.222222,0.333333,0.407407,0.407407,0.222222,0.333333,0.407407,0.407407,0.288272,9,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_build,build,dense,current,27,50,10,0.407407,0.592593,0.740741,0.518519,0.518519,0.592593,0.666667,0.518519,0.518519,0.592593,0.648148,0.545062,2,11,1,0.296297,0.185186,0.185186,0.25926,0.25679
dense_no_rerank_expanded_dev,dev,dense,none,30,50,10,0.433333,0.5,0.7,0.066667,0.2,0.266667,0.433333,0.066667,0.183333,0.25,0.416667,0.153651,8,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_dev,dev,dense,current,30,50,10,0.433333,0.5,0.7,0.1,0.266667,0.433333,0.466667,0.1,0.25,0.4,0.433333,0.208889,7,16,2,0.033333,0.066667,0.166666,0.033334,0.055238
dense_no_rerank_expanded_test,test,dense,none,52,50,10,0.442308,0.634615,0.75,0.230769,0.346154,0.403846,0.442308,0.230769,0.346154,0.394231,0.432692,0.302564,16,0,0,0.0,0.0,0.0,0.0,0.0
dense_current_rerank_expanded_test,test,dense,current,52,50,10,0.442308,0.634615,0.75,0.365385,0.480769,0.480769,0.596154,0.365385,0.471154,0.471154,0.576923,0.429884,8,21,7,0.134616,0.134615,0.076923,0.153846,0.12732
